group,metric,n,median,iqr_low,iqr_high,minimum,maximum,category,fraction
recovered_known_candidate,project_iv_metallicity_class,2,,,,,,very_metal_poor,0.08333333333333333
recovered_known_candidate,project_vi_validation_risk,21,,,,,,lower_validation_risk,0.875
recovered_known_candidate,project_vi_validation_risk,3,,,,,,high_validation_risk,0.125
recovered_known_candidate,distance_quality_flag,24,,,,,,missing_parallax,1.0
additional_gmm_member,rotation_class,8,,,,,,not_available,1.0
additional_gmm_member,inclination_proxy_class,8,,,,,,not_available,1.0
additional_gmm_member,orbit_am_consistency_label,8,,,,,,not_available,1.0
additional_gmm_member,orbital_family_interpretation,8,,,,,,not_available,1.0
additional_gmm_member,project_iii_population_group,8,,,,,,not_available,1.0
additional_gmm_member,project_iii_population_label,8,,,,,,not_available,1.0
additional_gmm_member,project_iv_metallicity_class,8,,,,,,not_available,1.0
additional_gmm_member,project_vi_validation_risk,8,,,,,,not_available,1.0
additional_gmm_member,distance_quality_flag,8,,,,,,not_available,1.0
omitted_known_candidate,rotation_class,3,,,,,,retrograde,1.0
omitted_known_candidate,inclination_proxy_class,3,,,,,,low_Lperp,1.0
omitted_known_candidate,orbit_am_consistency_label,3,,,,,,consistent,1.0
omitted_known_candidate,orbital_family_interpretation,3,,,,,,retrograde_low_inclination_halo_like,1.0
omitted_known_candidate,project_iii_population_group,3,,,,,,retrograde_halo,1.0
omitted_known_candidate,project_iii_population_label,3,,,,,,retrograde_halo_candidate,1.0
omitted_known_candidate,project_iv_metallicity_class,3,,,,,,metal_intermediate,1.0
omitted_known_candidate,project_vi_validation_risk,3,,,,,,lower_validation_risk,1.0
omitted_known_candidate,distance_quality_flag,3,,,,,,missing_parallax,1.0
parent_comparison,rotation_class,1803,,,,,,not_available,1.0
parent_comparison,inclination_proxy_class,1803,,,,,,not_available,1.0
parent_comparison,orbit_am_consistency_label,1803,,,,,,not_available,1.0
parent_comparison,orbital_family_interpretation,1803,,,,,,not_available,1.0
parent_comparison,project_iii_population_group,1803,,,,,,not_available,1.0
parent_comparison,project_iii_population_label,1803,,,,,,not_available,1.0
parent_comparison,project_iv_metallicity_class,1803,,,,,,not_available,1.0
parent_comparison,project_vi_validation_risk,1803,,,,,,not_available,1.0
parent_comparison,distance_quality_flag,1803,,,,,,not_available,1.0
