source_id,source_id_key,known_candidate,m2_gmm_label,reference_member,reference_candidate,new_member,m2_omitted_candidate,selection_count,selection_frequency,mean_membership_probability,median_membership_probability,stability_group
3077496251161728000,3077496251161728000,False,1,False,False,False,False,0,0.0,0.911202413434235,0.964269246167786,field stars
3077498244026620288,3077498244026620288,False,4,False,False,False,False,0,0.0,0.9273373714832737,0.956915510865251,field stars
3077499515336865152,3077499515336865152,False,3,False,False,False,False,0,0.0,0.8833127070861377,0.9453838954958668,field stars
3077499614120466176,3077499614120466176,False,1,False,False,False,False,0,0.0,0.8736536423327503,0.9432974476509812,field stars
3077499721495292800,3077499721495292800,False,3,False,False,False,False,0,0.0,0.7541456664781923,0.7806131057762069,field stars
3077501027165342720,3077501027165342720,False,0,False,False,False,False,0,0.0,0.7222371436683844,0.7363168940918261,field stars
3077501370762731392,3077501370762731392,False,1,False,False,False,False,0,0.0,0.8369973257602642,0.9069789200152105,field stars
3077502710792535936,3077502710792535936,False,4,False,False,False,False,0,0.0,0.8809899734647434,0.9268293298882015,field stars
3077503294908084736,3077503294908084736,False,0,False,False,False,False,0,0.0,0.8748909943261642,0.9084125400497627,field stars
3077503363627568640,3077503363627568640,False,6,False,False,False,False,0,0.0,0.984174683004036,0.999999894315184,field stars
3077503432347045504,3077503432347045504,False,4,False,False,False,False,0,0.0,0.7192953689097421,0.731539255989051,field stars
3077503466706783232,3077503466706783232,False,1,False,False,False,False,0,0.0,0.9000876241831874,0.9343856643729944,field stars
3077505077318863616,3077505077318863616,False,0,False,False,False,False,0,0.0,0.9528309125569336,0.9690921159115707,field stars
3077505528291070336,3077505528291070336,False,4,False,False,False,False,0,0.0,0.7844002580461928,0.798661096743255,field stars
3077505803168982272,3077505803168982272,False,7,False,False,False,False,0,0.0,0.9496808831025539,0.9871932770701106,field stars
3077506108111014400,3077506108111014400,False,7,False,False,False,False,0,0.0,0.8328405881068108,0.8695401116530967,field stars
3077525353860054912,3077525353860054912,False,3,False,False,False,False,0,0.0,0.7919642105007481,0.8454594980657961,field stars
3077529511388389504,3077529511388389504,False,4,False,False,False,False,0,0.0,0.725582809782517,0.6965701144768053,field stars
3077529923705257216,3077529923705257216,False,1,False,False,False,False,0,0.0,0.8505755130049498,0.9142212487598211,field stars
3077532496390020480,3077532496390020480,False,4,False,False,False,False,0,0.0,0.6168668986925581,0.5981413612722051,field stars
3077578577094794240,3077578577094794240,False,1,False,False,False,False,0,0.0,0.8800084896649748,0.928713985469058,field stars
3077579436088229760,3077579436088229760,False,1,False,False,False,False,0,0.0,0.9246948624773683,0.9755131847876582,field stars
3077579878469227520,3077579878469227520,False,3,False,False,False,False,0,0.0,0.8319621912779743,0.8834794331535974,field stars
3077580535599970432,3077580535599970432,False,3,False,False,False,False,0,0.0,0.6690201364839526,0.6530432940343525,field stars
3077581050995923968,3077581050995923968,False,2,False,False,False,False,0,0.0,0.7224034668413012,0.740635513862953,field stars
3077581050995924864,3077581050995924864,False,8,False,False,False,False,1,0.012195121951219513,0.7942297742498104,0.9054555524441659,field stars
3077581085355664896,3077581085355664896,False,4,False,False,False,False,0,0.0,0.623388152147223,0.5979890076189187,field stars
3077581738190729216,3077581738190729216,False,2,False,False,False,False,0,0.0,0.5544356093306859,0.5436312353173253,field stars
3077583417521476224,3077583417521476224,False,2,False,False,False,False,0,0.0,0.611085525645503,0.6026263589100602,field stars
3077583696695800192,3077583696695800192,False,1,False,False,False,False,0,0.0,0.8725436852886107,0.9534857385056432,field stars
3077583765415270272,3077583765415270272,False,4,False,False,False,False,0,0.0,0.9354561552873879,0.9773640498755949,field stars
3077583795479399040,3077583795479399040,False,3,False,False,False,False,0,0.0,0.7382751767649398,0.7323848992455075,field stars
3077584521329511808,3077584521329511808,False,3,False,False,False,False,0,0.0,0.7520895357491747,0.8091087605591436,field stars
3077585135508393088,3077585135508393088,False,0,False,False,False,False,0,0.0,0.9700409658937953,0.9998188179568113,field stars
3077585655199566080,3077585655199566080,False,4,False,False,False,False,0,0.0,0.6017700123567397,0.5532838425120266,field stars
3077585655200877440,3077585655200877440,False,2,False,False,False,False,0,0.0,0.8477782207142323,0.8875409645648908,field stars
3077587579346852224,3077587579346852224,False,0,False,False,False,False,0,0.0,0.7837224673186093,0.7454208012996286,field stars
3077590328125281920,3077590328125281920,False,0,False,False,False,False,0,0.0,0.8883593343956683,0.9470509390527088,field stars
3077590774801871616,3077590774801871616,False,1,False,False,False,False,0,0.0,0.8749455022145273,0.9486887337661238,field stars
3077591152758993792,3077591152758993792,False,4,False,False,False,False,0,0.0,0.8338654435301182,0.878604484226314,field stars
3077591393277176576,3077591393277176576,False,3,False,False,False,False,0,0.0,0.831190064138229,0.8580514639165593,field stars
3077592389709432320,3077592389709432320,False,1,False,False,False,False,0,0.0,0.8588215000502334,0.9301317094324519,field stars
3077592527148518016,3077592527148518016,False,7,False,False,False,False,0,0.0,0.8951992102198808,0.9383155598768009,field stars
3077593798458703232,3077593798458703232,False,3,False,False,False,False,0,0.0,0.6520089911355279,0.6557453660116672,field stars
3077594038976867584,3077594038976867584,False,4,False,False,False,False,0,0.0,0.6490341863734423,0.6282439712132167,field stars
3077594176415952896,3077594176415952896,False,3,False,False,False,False,0,0.0,0.6909170094266174,0.7334609193495265,field stars
3077594863610615296,3077594863610615296,False,4,False,False,False,False,0,0.0,0.6181382765461423,0.5917913482629076,field stars
3077596444158576768,3077596444158576768,False,4,False,False,False,False,0,0.0,0.791772181433261,0.8299357928853661,field stars
3077597298855774464,3077597298855774464,False,0,False,False,False,False,0,0.0,0.9135951381781187,0.997673590929375,field stars
3077598643181824256,3077598643181824256,False,2,False,False,False,False,0,0.0,0.8067684950388083,0.8380063760338163,field stars
3077598780620779904,3077598780620779904,False,6,False,False,False,False,0,0.0,0.9974527018514502,0.999985414118909,field stars
3077598948124010112,3077598948124010112,False,1,False,False,False,False,0,0.0,0.8512373276194558,0.922465892624065,field stars
