algorithm,min_cluster_size,min_samples,cluster_selection_method,n_clusters,noise_count,noise_fraction,clustered_count,clustered_fraction,smallest_cluster,largest_cluster,silhouette,calinski_harabasz,davies_bouldin,admissible,selection_score,xi,n_components,covariance_type,bic,aic,converged
HDBSCAN,15.0,5.0,eom,2,591,0.3215451577801959,1247,0.6784548422198041,212,1035,0.3659868181016942,508.07591220017105,1.0437727055111696,True,0.4677550444346648,,,,,,
HDBSCAN,15.0,5.0,leaf,2,591,0.3215451577801959,1247,0.6784548422198041,212,1035,0.3659868181016942,508.07591220017105,1.0437727055111696,True,0.4677550444346648,,,,,,
HDBSCAN,15.0,10.0,eom,2,714,0.38846572361262244,1124,0.6115342763873776,166,958,0.39440067675972157,459.7708626355161,0.9676093397021255,True,0.4861308182178282,,,,,,
HDBSCAN,15.0,10.0,leaf,2,714,0.38846572361262244,1124,0.6115342763873776,166,958,0.39440067675972157,459.7708626355161,0.9676093397021255,True,0.4861308182178282,,,,,,
HDBSCAN,15.0,20.0,eom,2,804,0.43743199129488575,1034,0.5625680087051143,136,898,0.40681884513610045,429.95891335580376,0.8997958041044526,True,0.4912040464418676,,,,,,
HDBSCAN,15.0,20.0,leaf,2,804,0.43743199129488575,1034,0.5625680087051143,136,898,0.40681884513610045,429.95891335580376,0.8997958041044526,True,0.4912040464418676,,,,,,
HDBSCAN,25.0,5.0,eom,2,591,0.3215451577801959,1247,0.6784548422198041,212,1035,0.3659868181016942,508.07591220017105,1.0437727055111696,True,0.4677550444346648,,,,,,
HDBSCAN,25.0,5.0,leaf,2,591,0.3215451577801959,1247,0.6784548422198041,212,1035,0.3659868181016942,508.07591220017105,1.0437727055111696,True,0.4677550444346648,,,,,,
HDBSCAN,25.0,10.0,eom,2,714,0.38846572361262244,1124,0.6115342763873776,166,958,0.39440067675972157,459.7708626355161,0.9676093397021255,True,0.4861308182178282,,,,,,
HDBSCAN,25.0,10.0,leaf,2,714,0.38846572361262244,1124,0.6115342763873776,166,958,0.39440067675972157,459.7708626355161,0.9676093397021255,True,0.4861308182178282,,,,,,
