stability_group,star_count,mean_selection_frequency,min_selection_frequency,median_selection_frequency,max_selection_frequency
24 M2 reference candidates,24,0.8785569105691057,0.6463414634146342,0.9451219512195121,0.9878048780487805
8 M2 new members,8,0.41310975609756095,0.13414634146341464,0.23170731707317072,0.8658536585365854
3 M2 omitted candidates,3,0.05691056910569106,0.024390243902439025,0.06097560975609756,0.08536585365853659
field stars,1803,0.0015624365894241303,0.0,0.0,0.3902439024390244
