source_id,metric,unit,baseline_mode,correlated_mode,baseline_success_fraction,correlated_success_fraction,baseline_median,baseline_p16,baseline_p84,baseline_interval_width,correlated_median,correlated_p16,correlated_p84,correlated_interval_width,median_shift_correlated_minus_baseline,interval_width_change_correlated_minus_baseline,interval_width_ratio_correlated_over_baseline
3089534353001157632,Lz,kpc km/s,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,448.8150207527317,331.9995071615144,592.762584561293,260.76307739977864,464.95265943817253,331.82063251151584,621.955556150164,290.1349236386482,16.137638685440834,29.37184623886958,1.1126380564754546
3089534353001157632,Lperp,kpc km/s,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,1294.713461507322,1246.343930353073,1354.051781462911,107.7078511098382,1302.0867811466544,1246.6971915285098,1367.7216369865057,121.02444545799585,7.373319639332294,13.31659434815765,1.1236362457419902
3089534353001157632,Ltot,kpc km/s,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,1370.2984808544056,1289.8050293279232,1478.1163277044157,188.31129837649246,1383.2351791707083,1289.9096184968953,1502.5988323429071,212.68921384601185,12.936698316302682,24.377915469519394,1.1294554053829549
3089534353001157632,eccentricity,dimensionless,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,0.8389316121726976,0.8172884170583831,0.8680487893998289,0.050760372341445814,0.8375657375112047,0.8144877534332898,0.8643216526757309,0.04983389924244108,-0.0013658746614929607,-0.0009264730990047321,0.9817481027764592
3089534353001157632,rperi,kpc,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,1.8894321799148637,1.4356262785844347,2.359922304980537,0.9242960263961022,1.9240756060685897,1.4824068741267165,2.4344351356209617,0.9520282614942452,0.034643426153726065,0.027732235098143043,1.0300036290389272
3089534353001157632,rap,kpc,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,21.631025286356326,20.30735892820548,23.51959885525919,3.2122399270537088,21.827566974169976,20.305567347711417,23.941180224808157,3.63561287709674,0.19654168781364945,0.42337295004303144,1.131799915217215
3089534353001157632,Zmax,kpc,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,17.649601063124084,16.96622066911746,18.618672078014416,1.6524514088969546,17.731508626941462,16.965289525409737,18.879752491815797,1.9144629664060595,0.08190756381737785,0.2620115575091049,1.1585593113954273
3089847099636770560,Lz,kpc km/s,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,-961.3459613952776,-1009.492711555822,-915.5753516230858,93.91735993273619,-958.4684269193249,-1003.2451924367614,-908.1646195448834,95.08057289187798,2.877534475952757,1.163212959141788,1.0123854946516266
3089847099636770560,Lperp,kpc km/s,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,3530.8314161843514,3371.5365835336156,3682.459894511917,310.9233109783013,3539.9076435709894,3392.673567403652,3703.1666453263633,310.4930779227111,9.076227386638038,-0.430233055590179,0.9986162727579464
3089847099636770560,Ltot,kpc km/s,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,3659.3656178637298,3519.422765408741,3794.573638777463,275.1508733687224,3667.5268595058214,3537.9026040384897,3813.7173990790366,275.81479504054687,8.161241642091682,0.6639216718244825,1.0024129368142503
3089847099636770560,eccentricity,dimensionless,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,0.7086041277837005,0.6636324372107248,0.7492265902485887,0.08559415303786388,0.711218879029361,0.6698108913868329,0.754750652216695,0.0849397608298621,0.0026147512456604627,-0.0006543922080017861,0.9923547089984954
3089847099636770560,rperi,kpc,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,9.389523460070471,9.340810606201124,9.434224340392348,0.09341373419122334,9.390650194221081,9.347052868119745,9.442624270576475,0.09557140245673068,0.0011267341506098205,0.00215766826550734,1.0230979768038226
3089847099636770560,rap,kpc,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,55.04832703455579,46.19671208334712,65.8169602187051,19.620248135357983,55.63816435274194,47.26752325149795,67.56433979095021,20.296816539452266,0.5898373181861487,0.676568404094283,1.0344831726605448
3089847099636770560,Zmax,kpc,measured_only_parallax,correlated_gaia_astrometry_rv_fixed,1.0,1.0,52.807139085605385,43.63786120010287,63.73379048315291,20.09592928305004,53.4087376620984,44.75684404999832,65.47101510344504,20.71417105344672,0.6015985764930178,0.6182417703966792,1.030764527566194
