,feh,rv,tangential_velocity_kms,bp_rp,absolute_g_mag
feh,1.0,-0.2201681067637955,-0.4772137156966295,0.0559192303669246,0.21421114943242692
rv,-0.2201681067637955,1.0,0.24294508011500418,0.15196608805896447,-0.2289890797355867
tangential_velocity_kms,-0.4772137156966295,0.24294508011500418,1.0,0.0937610059025126,-0.11720791582597125
bp_rp,0.0559192303669246,0.15196608805896447,0.0937610059025126,1.0,-0.29634020952336654
absolute_g_mag,0.21421114943242692,-0.2289890797355867,-0.11720791582597125,-0.29634020952336654,1.0
