experiment_family,run_count,mean_ari_vs_m2_gmm,min_ari_vs_m2_gmm,mean_reference_recall,min_reference_recall,mean_jaccard_overlap,min_jaccard_overlap,mean_candidate_fraction,mean_candidate_enrichment,min_candidate_enrichment,mean_matched_group_size,min_matched_group_size,max_matched_group_size
baseline_reproduction,1,1.0,1.0,1.0,1.0,1.0,1.0,0.75,51.05555555555555,51.05555555555555,32.0,32,32
covariance_sensitivity,4,0.4648206581894927,0.24624953729154958,0.75,0.4375,0.7010416666666667,0.4375,0.8393719806763285,57.13947038826265,47.273662551440324,26.25,14,36
feature_ablation,5,0.38193403545738136,0.21864477290726972,0.725,0.53125,0.6191997449386258,0.4722222222222222,0.7160097071861777,48.74169784474795,40.04357298474945,28.6,21,37
n_components_sensitivity,7,0.5338448842824283,0.34687449301452594,0.7723214285714286,0.34375,0.7723214285714286,0.34375,0.876022126022126,59.63439509735805,51.05555555555555,24.714285714285715,11,32
random_seed_stability,30,0.5336759349905704,0.41898603622907654,0.7760416666666666,0.34375,0.7479188726441048,0.34375,0.8465321611032395,57.626893041027934,40.04357298474945,26.333333333333332,11,36
scaler_sensitivity,5,0.550620062889385,0.38059735434542424,0.86875,0.78125,0.7405700260189424,0.5490196078431373,0.6749799576659765,45.94863563666907,33.31284475965327,34.4,28,47
subsample_80pct,30,0.49315680936377043,0.32906900228458535,0.728125,0.34375,0.6555275339237506,0.34375,0.7632768681374366,51.959366060615125,27.65509259259259,27.666666666666668,11,55
