run_key,experiment_family,experiment_name,run_id,random_state,train_fraction,train_size,scaler,features,n_features,n_components,covariance_type,n_init,converged,n_iter,lower_bound,bic_all,aic_all,ari_vs_m2_gmm,matched_label,matched_group_size,reference_overlap_count,reference_recall,jaccard_overlap,candidate_count,candidate_fraction,candidate_enrichment,reference_candidates_selected,new_members_selected,omitted_candidates_selected
subsample_80pct:subsample:subsample_27,subsample_80pct,subsample,subsample_27,1027,0.8,1470,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,34,-4.164022405943061,16733.89740188555,15696.807940937411,0.6842173749577602,3,27,26,0.8125,0.7878787878787878,23,0.8518518518518519,57.989026063100134,23,3,0
subsample_80pct:subsample:subsample_28,subsample_80pct,subsample,subsample_28,1028,0.8,1470,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,41,-4.041889914867097,16627.731976699928,15590.642515751788,0.49394432493343704,6,29,27,0.84375,0.7941176470588235,20,0.6896551724137931,46.94763729246488,20,7,0
subsample_80pct:subsample:subsample_29,subsample_80pct,subsample,subsample_29,1029,0.8,1470,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,19,-4.175767831928877,16715.803575374448,15678.71411442631,0.3750959744495728,8,24,21,0.65625,0.6,19,0.7916666666666666,53.89197530864197,19,2,0
feature_ablation:drop_feh:drop_feh,feature_ablation,drop_feh,drop_feh,42,1.0,1838,RobustScaler,rv;tangential_velocity_kms;bp_rp;absolute_g_mag,4,9,full,5,True,32,-3.289337645989299,13096.341367703739,12357.139305113044,0.46042397566132004,3,37,28,0.875,0.6829268292682927,25,0.6756756756756757,45.99599599599599,22,6,3
feature_ablation:drop_rv:drop_rv,feature_ablation,drop_rv,drop_rv,42,1.0,1838,RobustScaler,feh;tangential_velocity_kms;bp_rp;absolute_g_mag,4,9,full,5,True,38,-3.0873479697113164,12353.41387108109,11614.211808490394,0.6161686888457912,4,27,25,0.78125,0.7352941176470589,23,0.8518518518518519,57.989026063100134,23,2,0
feature_ablation:drop_tangential_velocity_kms:drop_tangential_velocity_kms,feature_ablation,drop_tangential_velocity_kms,drop_tangential_velocity_kms,42,1.0,1838,RobustScaler,feh;rv;bp_rp;absolute_g_mag,4,9,full,5,True,26,-3.155290689346007,12603.569390976098,11864.367328385402,0.34102205966805543,5,21,17,0.53125,0.4722222222222222,15,0.7142857142857143,48.62433862433862,15,2,0
feature_ablation:drop_bp_rp:drop_bp_rp,feature_ablation,drop_bp_rp,drop_bp_rp,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;absolute_g_mag,4,9,full,5,True,14,-4.414110972209525,17230.449767886992,16491.247705296297,0.21864477290726972,7,34,26,0.8125,0.65,20,0.5882352941176471,40.04357298474945,20,6,0
feature_ablation:drop_absolute_g_mag:drop_absolute_g_mag,feature_ablation,drop_absolute_g_mag,drop_absolute_g_mag,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp,4,9,full,5,True,21,-3.832975833023896,15094.322104293762,14355.120041703067,0.2734106802044704,6,24,20,0.625,0.5555555555555556,18,0.75,51.05555555555555,18,2,0
scaler_sensitivity:RobustScaler:RobustScaler,scaler_sensitivity,RobustScaler,RobustScaler,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,55,-4.109660156006034,16518.065977508253,15480.976516560113,1.0,5,32,32,1.0,1.0,24,0.75,51.05555555555555,24,8,0
scaler_sensitivity:StandardScaler:StandardScaler,scaler_sensitivity,StandardScaler,StandardScaler,42,1.0,1838,StandardScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,30,-5.0094843068141826,19825.4365246748,18788.34706372666,0.45489654934535717,5,31,26,0.8125,0.7027027027027027,24,0.7741935483870968,52.702508960573475,24,2,0
