source_id,mc_mode,draw_index,variable_order,parallax_draw_mas,pmra_draw_masyr,pmdec_draw_masyr,parallax_reference_mas,pmra_reference_masyr,pmdec_reference_masyr,ra_fixed_deg,dec_fixed_deg,radial_velocity_fixed_kms,valid_draw,rejection_reason,distance_kpc_draw,Lx_kpc_kms,Ly_kpc_kms,Lz_kpc_kms,Lperp_kpc_kms,Ltot_kpc_kms,galpy_eccentricity,galpy_rperi_kpc,galpy_rap_kpc,galpy_zmax_kpc,galpy_energy
3089534353001157632,correlated_gaia_astrometry_rv_fixed,0,"parallax_mas, pmra_masyr, pmdec_masyr",0.47962925106167514,2.8998697374507896,-36.29058734382058,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.084943730572035,194.3089203046536,-1228.895649214368,325.1509925207681,1244.162558980121,1285.9485375026497,0.8704542901413931,1.4015511131389269,20.236388339563206,16.88717994617102,-27912.04303074661
3089534353001157632,correlated_gaia_astrometry_rv_fixed,1,"parallax_mas, pmra_masyr, pmdec_masyr",0.43774307195484585,2.8811889173035947,-36.30087293923128,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.2844450639373046,253.02956032459159,-1351.3698939618291,636.6732210683006,1374.8543736354268,1515.1162790789183,0.8096222384180034,2.5422216569721683,24.164906695067213,19.01920457928798,-20369.54715565217
3089534353001157632,correlated_gaia_astrometry_rv_fixed,2,"parallax_mas, pmra_masyr, pmdec_masyr",0.4536603682906802,2.896784929056499,-36.28398172477955,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.204292175152615,228.35126002754217,-1300.70251537718,509.215947885471,1320.595067181719,1415.3699915730826,0.8280432454576926,2.1058708741822416,22.387157966555996,18.0552974067824,-23567.989635853013
3089534353001157632,correlated_gaia_astrometry_rv_fixed,3,"parallax_mas, pmra_masyr, pmdec_masyr",0.4789207701455393,2.912907990875512,-36.27470959380391,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.0880280462593217,194.85278072928946,-1229.0440524292012,328.92356070610305,1244.3941855254427,1287.1315386381887,0.8570765215506898,1.560365592532845,20.27461364898138,16.92817279299455,-27832.22306518064
3089534353001157632,correlated_gaia_astrometry_rv_fixed,4,"parallax_mas, pmra_masyr, pmdec_masyr",0.447669420901413,2.930176494381724,-36.28304478531339,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.2337911711423835,236.76913925702377,-1315.5097248994825,556.2417725136931,1336.6470968844485,1447.767374649256,0.8215396222993494,2.253812029133634,23.00459051570664,17.971507652571194,-22427.338665990785
3089534353001157632,correlated_gaia_astrometry_rv_fixed,5,"parallax_mas, pmra_masyr, pmdec_masyr",0.4747077539280755,2.89613452738908,-36.30408673776832,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.1065592287576433,200.49357927257748,-1242.7164698921376,359.2645564720359,1258.7858832504858,1309.05038917826,0.8609073268575353,1.53986046333249,20.601643162171886,17.133664190216553,-27129.74332925837
3089534353001157632,correlated_gaia_astrometry_rv_fixed,6,"parallax_mas, pmra_masyr, pmdec_masyr",0.4546198346568925,2.9398706798461696,-36.27039096645389,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.199640059160008,226.34000803740935,-1293.5529584599456,501.8394685034698,1313.2056410093783,1405.8278371574156,0.8314239921313114,2.051289536015901,22.285382828579934,17.957848860125214,-23771.75806421046
3089534353001157632,correlated_gaia_astrometry_rv_fixed,7,"parallax_mas, pmra_masyr, pmdec_masyr",0.43192442640966777,2.9385760610662617,-36.28535722767015,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.3152198367487764,261.7487138590335,-1364.0538329258566,685.8243586834719,1388.9403328892781,1549.035280195443,0.8077707325638106,2.6487662896809443,24.90964169894863,19.3037465512479,-19137.848141342623
3089534353001157632,correlated_gaia_astrometry_rv_fixed,8,"parallax_mas, pmra_masyr, pmdec_masyr",0.4385856960879275,2.889194250503507,-36.2991445172327,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.280056118837766,251.55411783321574,-1347.896653877474,629.7522773983103,1371.1691594157658,1508.8713645043756,0.8137587393815323,2.4706848757344035,24.061404388801094,18.942338518017053,-20551.258973419375
3089534353001157632,correlated_gaia_astrometry_rv_fixed,9,"parallax_mas, pmra_masyr, pmdec_masyr",0.48788609078147244,2.941345594146655,-36.306170278249354,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.0496587603025294,184.47885893383364,-1205.024047772276,273.4393773333813,1219.0633310468368,1249.3536321552344,0.8875722069991271,1.1735798082999105,19.70346094781988,16.647774774686464,-29093.608551630376
3089534353001157632,correlated_gaia_astrometry_rv_fixed,10,"parallax_mas, pmra_masyr, pmdec_masyr",0.46061386040985147,2.8925878650784838,-36.274987897470275,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.1710158680639915,218.5355387275652,-1280.620928746734,456.47563035582306,1299.1334592069804,1376.995913552339,0.8379513132126032,1.9155644238147747,21.726273863069213,17.69949251115961,-24842.386538171813
3089534353001157632,correlated_gaia_astrometry_rv_fixed,11,"parallax_mas, pmra_masyr, pmdec_masyr",0.4732671536624242,2.902947770746838,-36.28982431200303,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.112971483994615,202.05514421351185,-1245.4295146603063,368.1517329857346,1261.7135004786742,1314.3274537916907,0.8584853196007043,1.576110475960475,20.698758414155304,17.20161866898421,-26927.699219303413
3089534353001157632,correlated_gaia_astrometry_rv_fixed,12,"parallax_mas, pmra_masyr, pmdec_masyr",0.4390575210698035,2.906219382745336,-36.28401469956142,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.2776058990252785,250.3965650853919,-1344.1969300506541,624.9792281067627,1367.3199430141308,1503.3838039998604,0.8136635984686722,2.4644193241256636,23.98687311119951,18.874699553704406,-20683.8498441149
3089534353001157632,correlated_gaia_astrometry_rv_fixed,13,"parallax_mas, pmra_masyr, pmdec_masyr",0.47357008976708304,2.894072227046559,-36.29487072445429,0.4587656346030645,2.906363530788064,-36.28302820325773,124.17699360479357,0.7374494221361896,-43.26,True,,2.1116198459489537,201.82340286040002,-1245.560181004554,366.2715870095604,1261.8053932545415,1313.8903020788114,0.8611218885395578,1.5431192163280556,20.679521919854107,17.195937466708447,-26966.822050590294
