source_id,mc_mode,draw_index,parallax_draw_mas,parallax_reference_mas,parallax_error_mas,pmra_masyr_fixed,pmdec_masyr_fixed,radial_velocity_kms_fixed,valid_draw,rejection_reason,distance_kpc_draw,Lx_kpc_kms,Ly_kpc_kms,Lz_kpc_kms,Lperp_kpc_kms,Ltot_kpc_kms,galpy_eccentricity,galpy_rperi_kpc,galpy_rap_kpc,galpy_zmax_kpc,galpy_energy
3089847099636770560,measured_only_parallax,0,0.6349087206055439,0.637150856719755,0.02381598589021094,-42.072760482673594,-36.356421286612786,-11.29,True,,1.575029555502483,322.1857525893473,-3531.1202075621322,-956.828556591047,3545.7881464387015,3672.6195645796624,0.7126613583160591,9.394697495464428,55.99642038834708,53.77960129656677,11523.190320134614
3089847099636770560,measured_only_parallax,1,0.6212111139967312,0.637150856719755,0.02381598589021094,-42.072760482673594,-36.356421286612786,-11.29,True,,1.609758707577247,339.59955672591167,-3619.9524322556304,-929.6397890505372,3635.8470087067594,3752.814091865972,0.7371316221527061,9.41449582073112,62.2144760459436,60.10468614109817,14643.535448889445
3089847099636770560,measured_only_parallax,2,0.6553926545554613,0.637150856719755,0.02381598589021094,-42.072760482673594,-36.356421286612786,-11.29,True,,1.525802880226478,298.2562213586076,-3405.9592708526106,-995.1423185217494,3418.9933208893467,3560.8739885593827,0.6772359555375025,9.35565418604356,48.61644243719485,46.16003782772416,7243.208553074427
3089847099636770560,measured_only_parallax,3,0.6500598668260872,0.637150856719755,0.02381598589021094,-42.072760482673594,-36.356421286612786,-11.29,True,,1.538319854881202,304.257051778002,-3437.700399014431,-985.4251910313629,3451.138418977225,3589.069405021282,0.6863464754138777,9.365572714402674,50.353652355750135,47.96610585283763,8315.59664401969
3089847099636770560,measured_only_parallax,4,0.649969734550754,0.637150856719755,0.02381598589021094,-42.072760482673594,-36.356421286612786,-11.29,True,,1.5385331759965406,304.3598163744448,-3438.241844016232,-985.2594387074568,3451.686816002811,3589.5512306317287,0.686505741653382,9.365741805322674,50.38490150609229,47.99618164952642,8333.96679295714
3089847099636770560,measured_only_parallax,5,0.6523075786315263,0.637150856719755,0.02381598589021094,-42.072760482673594,-36.356421286612786,-11.29,True,,1.5330191350802582,301.70883034163757,-3424.251608967196,-989.5423054325577,3437.5176072015324,3577.1107438911267,0.6824977336083785,9.361371630951805,49.60747755140377,47.19176171758652,7860.136048029665
3089847099636770560,measured_only_parallax,6,0.6147074629821938,0.637150856719755,0.02381598589021094,-42.072760482673594,-36.356421286612786,-11.29,True,,1.6267900753125668,348.30012411087716,-3663.6770516332035,-916.2583105185448,3680.1959886831323,3792.5416025026957,0.7487959480166744,9.42826602461354,65.63633544319535,63.55148428459204,16204.257626138695
3089847099636770560,measured_only_parallax,7,0.6165506024661719,0.637150856719755,0.02381598589021094,-42.072760482673594,-36.356421286612786,-11.29,True,,1.6219268880770685,345.80494816080335,-3651.1809997044224,-920.0825167864793,3667.5201096619885,3781.1711932245576,0.7452974797357472,9.43198197054563,64.63074784272824,62.54254276277387,15756.557867802776
3089847099636770560,measured_only_parallax,8,0.6133784063892769,0.637150856719755,0.02381598589021094,-42.072760482673594,-36.356421286612786,-11.29,True,,1.630314972916337,350.1140494210799,-3672.739736369432,-913.4848705612629,3689.3897894786114,3800.796183361239,0.7510153722397681,9.43865973270478,66.37854888464048,64.29519556417264,16529.7784174803
3089847099636770560,measured_only_parallax,9,0.6018014664931223,0.637150856719755,0.02381598589021094,-42.072760482673594,-36.356421286612786,-11.29,True,,1.6616775725511272,366.4528678945698,-3753.5741084773404,-888.7488045669335,3771.4196653540976,3874.7233101008346,0.7720382387515741,9.463651649570865,73.56476151712387,71.44470841225152,19463.922593202497
