source_id,m4_group,known_candidate,reference_member,selection_frequency,gmm_membership_probability,feh,rv_used_kms,distance_for_orbit_kpc,distance_provenance,parallax_snr,ruwe,complete_5d_astrometry,has_radial_velocity,usable_distance,complete_6d_phase_space,angular_momentum_ready,Lx_kpc_kms,Ly_kpc_kms,Lz_kpc_kms,Lperp_kpc_kms,Ltot_kpc_kms,rotation_class_followup,inclination_proxy_class_followup,angular_momentum_core_distance,core_consistency_class,galpy_success_followup,integrated_orbit_metrics_available,galpy_eccentricity_followup,galpy_rperi_kpc_followup,galpy_rap_kpc_followup,galpy_zmax_kpc_followup,galpy_energy_followup,Lz_median,Lz_p16,Lz_p84,Lperp_median,Lperp_p16,Lperp_p84,Ltot_median,Ltot_p16,Ltot_p84,core_distance_median_mc,core_distance_p16_mc,core_distance_p84_mc,orbitally_consistent_probability,partially_consistent_probability,inconsistent_probability,additional_member_evidence_classification,mc_uncertainty_note
3083553117121981312,recovered_known_candidate,True,True,0.9878048780487804,1.0,-1.116,91.38,13.19356409100696,gaia_lamost_larger_velocity_features_inverse_parallax,,1.0946758,True,True,True,True,True,371.5490003034414,-499.0005815924204,548.7714908641219,622.1336191334307,829.5784406801395,prograde,low_Lperp,0.7817907753963695,orbitally_consistent,True,True,0.8879014418154255,1.268236819672813,21.358937699104015,8.44088156331249,-26547.99337911866,,,,,,,,,,,,,,,,,
3084642080312126464,recovered_known_candidate,True,True,0.9878048780487804,0.9999999999297896,-1.196,79.89,10.86490456385446,gaia_lamost_larger_velocity_features_inverse_parallax,,1.0080569,True,True,True,True,True,159.8000054258463,-533.2600358303687,-320.5089803558779,556.6886989583196,642.3615135082979,low_Lz_or_radial,low_Lperp,0.4819980893033981,orbitally_consistent,True,True,0.9310047014815368,0.6744188443557643,18.87528552210301,6.987061064120245,-32095.448519841393,,,,,,,,,,,,,,,,,
3089545558572418048,recovered_known_candidate,True,True,0.9878048780487804,1.0,-2.108,101.42,5.823722750571067,gaia_lamost_larger_velocity_features_inverse_parallax,,0.9697527,True,True,True,True,True,59.053377553999354,-119.77270834968311,149.38423706546953,133.53951874240616,200.3707896615319,low_Lz_or_radial,low_Lperp,1.325690985835158,orbitally_consistent,True,True,0.949393608871366,0.3550506765815301,13.676800584222423,2.111655964691123,-47203.154825552614,,,,,,,,,,,,,,,,,
3084491481578346240,recovered_known_candidate,True,True,0.975609756097561,0.9999999999659188,-0.534,142.04,6.636820772902057,gaia_lamost_larger_velocity_features_inverse_parallax,,0.9610558,True,True,True,True,True,138.75160769752523,-383.0655185186012,110.09568597262827,407.4201763739405,422.0334823048479,low_Lz_or_radial,low_Lperp,0.8866220972353928,orbitally_consistent,True,True,0.9477613225411664,0.3730475708456246,13.909380277355648,5.485656744725901,-46269.13837944389,,,,,,,,,,,,,,,,,
3084599680395408128,recovered_known_candidate,True,True,0.975609756097561,1.0,-0.8,-3.5,5.0422602945291,gaia_lamost_larger_velocity_features_inverse_parallax,,0.9577371,True,True,True,True,True,-37.127443140515,1.0037401036660185,-282.1261845667667,37.141008714733125,284.56043039493244,low_Lz_or_radial,low_Lperp,1.2542800206916134,orbitally_consistent,True,True,0.933793505965312,0.5817765482489236,16.99283019483309,1.9525637605008015,-37362.43385615651,,,,,,,,,,,,,,,,,
3084926441506740992,recovered_known_candidate,True,True,0.975609756097561,0.9999999999814656,-0.883,83.7,4.098022306289083,gaia_lamost_larger_velocity_features_inverse_parallax,,1.0167264,True,True,True,True,True,-198.03188736156193,785.689645627201,-207.81821406233834,810.2622092000706,836.4886477136668,low_Lz_or_radial,moderate_Lperp,0.48069157901400283,orbitally_consistent,True,True,0.9169521568638752,0.5493061127983749,12.67936044987201,6.300239289621705,-49108.910638490735,,,,,,,,,,,,,,,,,
3089512263986192512,recovered_known_candidate,True,True,0.9634146341463414,0.999999998614154,-1.317,24.51,2.012895572742822,gaia_lamost_larger_velocity_features_inverse_parallax,,1.0233635,True,True,True,True,True,-145.77571778163883,616.53459280407,-875.1547524398858,633.5341064369245,1080.3986786075548,retrograde,low_Lperp,0.568561549581256,orbitally_consistent,True,True,0.6892583968451537,2.232678357057207,12.137321246405197,3.1383170049190316,-49576.3585500397,,,,,,,,,,,,,,,,,
3083736976083264768,recovered_known_candidate,True,True,0.9634146341463414,1.0,-0.583,-1.81,3.3203546482656567,gaia_lamost_larger_velocity_features_inverse_parallax,,0.9284,True,True,True,True,True,171.5778226738596,-1073.7614956457219,-450.7868543684867,1087.3834184706147,1177.1199967871903,low_Lz_or_radial,moderate_Lperp,0.9177367776048028,orbitally_consistent,True,True,0.8014155212580162,1.5480194811104693,14.042519023379343,10.0735935648153,-42876.799173740175,,,,,,,,,,,,,,,,,
3089618091979956992,recovered_known_candidate,True,True,0.9634146341463414,0.9999997019291716,-0.569,42.07,0.8151310775525903,gaia_lamost_larger_velocity_features_inverse_parallax,,1.114479,True,True,True,True,True,23.032359006783523,-866.0733684268471,-845.8650574582975,866.3795756247042,1210.82668639594,retrograde,moderate_Lperp,0.7908172248982723,orbitally_consistent,True,True,0.5370639380864489,2.734667912704435,9.07978396387073,3.966225419145091,-59623.57683201825,,,,,,,,,,,,,,,,,
3089780884124744832,recovered_known_candidate,True,True,0.9634146341463414,1.0,-1.369,71.17,1.459956683911417,gaia_lamost_larger_velocity_features_inverse_parallax,,0.9419943,True,True,True,True,True,-98.1792818514231,832.1231773148667,-279.7942046204619,837.8950731502425,883.3758829335602,low_Lz_or_radial,moderate_Lperp,0.4928781761131588,orbitally_consistent,True,True,0.8686784274981786,0.7786986358797059,11.080718229828411,5.540317093154632,-54880.11846698792,,,,,,,,,,,,,,,,,
3084618814470882048,recovered_known_candidate,True,True,0.951219512195122,0.9999999675394294,-0.951,127.33,4.18104141203351,gaia_lamost_larger_velocity_features_inverse_parallax,,0.9396877,True,True,True,True,True,140.7048467720695,-1050.9573583945012,-945.2942211173779,1060.3344864092178,1420.5246874118766,retrograde,moderate_Lperp,1.1858957115471,orbitally_consistent,True,True,0.5680730530137428,3.261226641200575,11.83959845876402,6.583790181736589,-47441.86271490552,,,,,,,,,,,,,,,,,
3084867926872687616,recovered_known_candidate,True,True,0.951219512195122,0.9999999999978436,-1.026,31.26,1.9552281461099248,gaia_lamost_larger_velocity_features_inverse_parallax,,0.9893926,True,True,True,True,True,-37.904666014457014,24.880581459006123,-553.6439680169053,45.341008363354376,555.4974800671105,retrograde,low_Lperp,1.0026311498227458,orbitally_consistent,True,True,0.8045438560281528,1.2161198138833442,11.227795114250192,0.693369563337487,-56089.839151662774,,,,,,,,,,,,,,,,,
3089857819875340672,recovered_known_candidate,True,True,0.9390243902439024,0.9999999999629096,-1.107,188.65,1.160310561817233,gaia_lamost_larger_velocity_features_inverse_parallax,,1.0049483,True,True,True,True,True,-11.560177400190483,192.1259836433401,92.33481189852378,192.47345607237602,213.4754055641554,low_Lz_or_radial,low_Lperp,1.254517296933707,orbitally_consistent,True,True,0.9508067882220382,0.230115367348902,9.125458665407908,1.0394209790026774,-67810.29102439061,,,,,,,,,,,,,,,,,
3084590884302328704,recovered_known_candidate,True,True,0.926829268292683,1.0,-1.311,303.03,1.5377167393443991,gaia_lamost_larger_velocity_features_inverse_parallax,,0.9751313,True,True,True,True,True,46.4804281591288,-202.85569300593426,476.6137605334222,208.11261947987146,520.0687830629561,low_Lz_or_radial,low_Lperp,1.0681427850746696,orbitally_consistent,True,True,0.7782072245643243,1.4956769732188897,11.991479858475712,1.0523769002110954,-53109.78587004303,,,,,,,,,,,,,,,,,
