group,n,selection_frequency_n,selection_frequency_median,selection_frequency_p16,selection_frequency_p84,Lz_kpc_kms_n,Lz_kpc_kms_median,Lz_kpc_kms_p16,Lz_kpc_kms_p84,Lperp_kpc_kms_n,Lperp_kpc_kms_median,Lperp_kpc_kms_p16,Lperp_kpc_kms_p84,Ltot_kpc_kms_n,Ltot_kpc_kms_median,Ltot_kpc_kms_p16,Ltot_kpc_kms_p84,angular_momentum_core_distance_n,angular_momentum_core_distance_median,angular_momentum_core_distance_p16,angular_momentum_core_distance_p84,galpy_eccentricity_followup_n,galpy_eccentricity_followup_median,galpy_eccentricity_followup_p16,galpy_eccentricity_followup_p84,galpy_zmax_kpc_followup_n,galpy_zmax_kpc_followup_median,galpy_zmax_kpc_followup_p16,galpy_zmax_kpc_followup_p84,galpy_rperi_kpc_followup_n,galpy_rperi_kpc_followup_median,galpy_rperi_kpc_followup_p16,galpy_rperi_kpc_followup_p84,galpy_rap_kpc_followup_n,galpy_rap_kpc_followup_median,galpy_rap_kpc_followup_p16,galpy_rap_kpc_followup_p84,rotation_class_followup_counts,inclination_proxy_class_followup_counts,core_consistency_class_counts,additional_member_evidence_classification_counts
recovered_known_candidate,24,24,0.9451219512195121,0.6912195121951219,0.975609756097561,24,-280.96019459361435,-988.303083670072,499.7042342392461,24,534.8967460869053,145.3501100504804,1068.9901446688648,24,981.8872807705575,378.04210569367496,1471.3183035419506,24,1.0493713735274526,0.6768573053749872,1.5998589257894458,24,0.8029796886430844,0.5581501362370087,0.9382632072695853,24,3.5522712120320614,1.0618148093878033,8.963349403793389,24,1.5898302645475875,0.4929033793734949,3.4641279685236004,24,13.178080517047217,9.692065780661395,20.082051105626277,"{""low_Lz_or_radial"": 11, ""prograde"": 4, ""retrograde"": 9}","{""high_Lperp"": 2, ""low_Lperp"": 16, ""moderate_Lperp"": 6}","{""inconsistent"": 2, ""orbitally_consistent"": 22}","{"""": 24}"
additional_gmm_member,8,8,0.23170731707317072,0.18585365853658528,0.804390243902439,8,-1542.3610820905544,-1665.1347601423104,-1030.2699145527858,8,226.50663473885123,79.74987019981677,416.53779064968285,8,1554.5376127181912,1107.458859280478,1859.5187051032797,8,1.4860511636616773,0.8510499011975559,1.8438651797168293,8,0.5314909156161067,0.46125462889859475,0.5726528910664279,8,1.1725171630928233,0.6000908728151547,1.5183986538290875,8,4.169545237929403,2.7899648939032002,6.153653232123771,8,11.912272664392173,10.441111382184705,13.852672138385923,"{""retrograde"": 8}","{""low_Lperp"": 7, ""moderate_Lperp"": 1}","{""orbitally_consistent"": 8}","{""orbitally consistent"": 8}"
omitted_known_candidate,3,3,0.0609756097560975,0.03609756097560972,0.07756097560975601,3,-3615.3190979045376,-3757.2682592464607,-2320.975189271464,3,587.1094110236369,555.5716581175001,600.4236381135072,3,3665.8701439882,2403.710087360642,3799.312427873396,3,4.817099785474923,2.718996108577584,5.042596915758464,3,0.3759293469872029,0.35049465153038045,0.4045980837408431,3,3.945630625688646,3.406105657629188,4.095494681585662,3,12.842646358806537,7.788034767460745,13.069814135976422,3,25.987706402445095,17.280125287935572,28.07113237670678,"{""retrograde"": 3}","{""low_Lperp"": 3}","{""inconsistent"": 2, ""orbitally_consistent"": 1}","{"""": 3}"
parent_comparison,1803,1803,0.0,0.0,0.0,1803,-2029.67418334691,-2279.0181589082395,-1818.0900962351507,1803,154.12446547334278,73.20826943858157,263.8833429790847,1803,2039.835467622577,1823.315412589647,2289.7207567498103,1803,2.241863979951531,1.9303954027410124,2.6275593610491397,0,,,,0,,,,0,,,,0,,,,"{""low_Lz_or_radial"": 1, ""retrograde"": 1802}","{""low_Lperp"": 1797, ""moderate_Lperp"": 6}","{""inconsistent"": 6, ""orbitally_consistent"": 1388, ""partially_consistent"": 409}","{"""": 1803}"
