source_id,feh,rv,tangential_velocity_kms,bp_rp,absolute_g_mag,known_candidate,hdbscan_label,optics_label,gmm_label,gmm_membership_probability
3089803084812330368,-0.439,22.46,1.4306624554201794,0.73433876,4.321987360304757,False,-1,0,3,0.9636567669243841
3090685683412224256,-0.476,96.55,60.5015834011037,1.1265078,-0.1330903607010292,False,-1,0,0,0.8969175910755355
3083676090627788288,-0.126,69.04,29.48624814642563,1.156867,1.2590746429453006,False,1,0,7,0.9752718465120612
3083712438932111488,0.018,23.39,14.232481445386824,0.6303549,2.852566582444579,False,0,0,1,0.5729783401254017
3084883801071606528,-0.208,80.68,14.657079434993593,0.6772051,3.643295243294777,False,-1,0,3,0.8826062972768398
3090881671361507968,-0.322,-25.23,11.139482717117149,0.6846037,3.217485507611741,False,0,0,4,0.6132156085869502
3084306484448957952,0.149,66.12,44.248343321659696,1.3908243,1.0650382464832795,False,-1,0,7,0.8507497669543262
3090633044293452416,0.022,4.65,2.634173525481258,0.7738724,3.8042933183130945,False,0,0,1,0.8817336144801577
3089766079373965568,-0.264,40.3,40.87204403638056,0.6303339,2.6618132940181276,False,0,0,4,0.963296910411789
3089728352380261248,-0.15,46.57,1.2754605850661975,0.7696066,3.547433623481677,False,-1,0,2,0.9441813695908029
3089726050277808384,-0.149,-6.21,15.44055969107822,0.79975414,4.764552663429875,False,0,0,3,0.548756609793322
3084746671355778944,0.049,45.37,33.712306297300934,1.2407274,0.525194333599778,False,1,0,0,0.9684518451838707
3090122733456939136,0.06,33.13,9.88519010925766,0.64348507,2.960372689157067,False,0,0,1,0.7356116124504422
3090132388543446656,-0.474,58.56,57.92740394839688,1.1225119,1.4093607608933354,False,-1,0,7,0.9980504379912152
3083702891222922240,-0.438,52.93,29.485095799770896,1.170557,1.1464553793075911,False,1,0,7,0.6187371659462152
3089652760956024064,0.016,22.49,1.9472946910673508,0.7630062,3.390619428781278,False,0,0,2,0.5337321019491085
3089751167247800576,0.471,6.67,22.225772805934092,1.07407,5.43486977674816,False,-1,0,1,0.7536163679271977
3084800616144708608,-0.124,86.69,64.28657002504735,0.6537924,2.451286614807067,False,-1,0,4,0.9737236603514436
