feature_set,feature,dtype,row_count,complete_count,missing_count,missing_fraction,unique_count,mean,std,minimum,q01,q05,median,q95,q99,maximum,recommended_scaling,preclipping,clustering_role
core,feh,float64,1838,1838,0,0.0,823,-0.15558541893362351,0.270374926774712,-2.213,-0.88152,-0.5651499999999999,-0.133,0.23014999999999988,0.3646299999999999,0.581,RobustScaler,False,primary
core,rv,float64,1838,1838,0,0.0,1718,29.674434167573448,36.54922235482257,-76.14,-44.2923,-23.4425,27.875,86.70499999999998,122.81159999999984,385.54,RobustScaler,False,primary
core,tangential_velocity_kms,float64,1838,1838,0,0.0,1838,37.420260600504974,30.68863145717693,1.2754605850661975,3.0215009266946815,8.79968934430743,32.391688490827576,73.45201079991658,156.2368909796172,426.6861088882448,RobustScaler,False,primary
core,bp_rp,float64,1838,1838,0,0.0,1833,0.8957357793579979,0.25866212323725624,0.20294476,0.5217332065,0.5734436965,0.82046509,1.358389875,1.535522708,1.6841192,RobustScaler,False,primary
core,absolute_g_mag,float64,1838,1838,0,0.0,1838,3.1407544017960864,1.6831865424670938,-2.4386732195933583,-0.7340690525449748,0.2955784944947918,3.3401109446427606,5.79789643618322,6.855568384720387,7.546803800468629,RobustScaler,False,primary
extended_only,teff,float64,1838,1838,0,0.0,1822,5666.28013601741,715.6371803551172,4035.12,4198.9114,4473.8460000000005,5780.365,6703.746999999999,6902.171599999999,6996.33,RobustScaler,False,sensitivity analysis
extended_only,logg,float64,1838,1838,0,0.0,1067,3.8466528835690963,0.723926167952612,0.837,1.9666800000000002,2.3757,4.128,4.62815,4.73063,4.839,RobustScaler,False,sensitivity analysis
